Artist (Ind.),total_chart_appearances,average_rank,best_rank,career_start,career_end,career_length_days,top_50_hits,top_50_rate,Artist_Tier
$NOT,93,149.0215053763441,97,2021-05-28,2022-02-11,259,0.0,0.0,0
$uicideboy$,50,132.9,82,2021-09-15,2021-11-10,56,0.0,0.0,0
(G)I-DLE,115,131.23478260869564,50,2018-11-04,2023-05-29,1667,1.0,0.008695652173913,4
*NSYNC,29,125.06896551724138,61,2017-12-23,2022-12-25,1828,0.0,0.0,4
070 Shake,237,56.89873417721519,9,2018-06-16,2023-05-29,1808,142.0,0.5991561181434599,1
13 Organisé,69,128.40579710144928,85,2020-08-18,2020-10-25,68,0.0,0.0,0
187 Strassenbande,15,167.53333333333333,99,2017-07-18,2021-05-21,1403,0.0,0.0,2
2 Chainz,327,128.20795107033638,15,2017-03-19,2019-03-05,716,8.0,0.0244648318042813,0
21 Savage,2684,83.39381520119225,1,2017-01-01,2023-05-29,2339,991.0,0.3692250372578241,4
22 Savage,12,179.91666666666666,170,2017-11-18,2017-11-29,11,0.0,0.0,2
24kGoldn,852,72.35446009389672,1,2019-09-29,2022-05-01,945,347.0,0.4072769953051643,1
2Pac,7,132.71428571428572,93,2020-06-02,2022-02-19,627,0.0,0.0,0
347aidan,81,164.17283950617283,87,2020-11-23,2022-07-13,597,0.0,0.0,0
4*TOWN (From Disney and Pixar's Turning Red),29,150.06896551724137,97,2022-03-19,2022-04-18,30,0.0,0.0,0
42 Dugg,6,32.333333333333336,17,2021-06-25,2021-06-27,2,6.0,1.0,1
5 Seconds of Summer,1334,99.523988005997,6,2018-02-23,2020-08-27,916,300.0,0.224887556221889,4
50 Cent,75,144.64,50,2022-02-14,2023-03-17,396,3.0,0.04,0
6LACK,401,90.17456359102243,3,2017-08-06,2021-08-19,1474,152.0,0.3790523690773067,1
6ix9ine,1215,96.73662551440329,2,2017-11-14,2020-09-23,1044,377.0,0.3102880658436214,1
88-Keys,2,123.5,65,2019-06-21,2019-06-22,1,0.0,0.0,0
