id,Best_Rank,Avg_Rank,Rank_Std,Chart_Weeks,Total_Points,Avg_Points,Title,Artists,First_Date,Last_Date,Chart_Longevity_Days,Peak_Performance,Consistency,Top10_Weeks,Top50_Weeks,Performance_Category,Top10_Rate,Top50_Rate,Worst_Rank,Rank_Range,Volatility_Score,Points_Per_Week,Dominance_Score,Consistency_Score,First_Week_Rank,Last_Week_Rank,Rank_Trajectory,Weeks_To_Peak,Performance_Cluster,Performance_Cluster_Name
000xQL6tZNLJzIrtIgxqSl,40,101.5,52.11078763590311,118,11741,99.5,Still Got Time (feat. PARTYNEXTDOOR),ZAYN,2017-03-24,2017-09-12,172,161,0.0188285665589338,0.0,0.0,Strong Performer,0.0,0.0,199,159,0.5134067747379617,99.5,769.4388823909562,0.0188285665589338,50,199,-149,59.0,1,Strong Performer
003VDDA7J3Xb2ZFlNx7nIZ,108,138.0,34.64101615137755,4,252,63.0,YELL OH,"Trippie Redd, Young Thug",2020-02-07,2020-02-08,1,93,0.0280575614273374,0.0,0.0,Moderate Performer,0.0,0.0,168,60,0.25102185616940254,63.0,149.67772585637132,0.0280575614273374,108,168,-60,2.0,0,Mid-Chart Mainstay
003eoIwxETJujVWmNFMoZy,91,136.5,26.860752037126584,14,903,64.5,Growing Pains,Alessia Cara,2018-06-15,2018-06-28,13,110,0.035892785617108375,0.0,0.0,Moderate Performer,0.0,0.0,172,81,0.19678206620605557,64.5,297.8855221212431,0.035892785617108375,91,172,-81,7.0,0,Mid-Chart Mainstay
003vvx7Niy0yvhvHt4a68B,73,168.06964285714287,18.78454641799539,560,18441,32.93035714285714,Mr. Brightside,The Killers,2020-08-15,2023-01-01,869,128,0.05054449967528354,0.0,0.0,Moderate Performer,0.0,0.0,200,127,0.11176644454443224,32.93035714285714,810.2042759069051,0.05054449967528354,195,101,94,280.0,0,Mid-Chart Mainstay
00B7TZ0Xawar6NZ00JFomN,61,109.28571428571429,42.2290978271701,14,1284,91.71428571428571,Best Life (feat. Chance The Rapper),Cardi B,2018-04-06,2018-04-19,13,140,0.023132566957515498,0.0,0.0,Moderate Performer,0.0,0.0,184,123,0.38641004547737345,91.71428571428571,379.1270281543094,0.023132566957515498,86,184,-98,7.0,1,Strong Performer
00Blm7zeNqgYLPtW6zg8cj,7,75.81016042780749,33.072084783564826,374,46821,125.18983957219251,One Right Now (with The Weeknd),"Post Malone, The Weeknd",2021-11-05,2022-06-02,209,194,0.02934953955275331,0.0,0.0,Chart Dominator,0.0,0.0,172,165,0.4362487112140953,125.18983957219251,1149.8236490382596,0.02934953955275331,8,116,-108,187.0,3,Volatile Performer
00EPIEnX1JFjff8sC6bccd,62,103.19130434782609,28.890667462236266,230,22496,97.80869565217391,No Me Acuerdo,"Thalia, Natti Natasha",2018-07-17,2018-11-08,114,139,0.033455258276296286,0.0,0.0,Moderate Performer,0.0,0.0,190,128,0.27997191861103654,97.80869565217391,756.4960617625293,0.033455258276296286,190,166,24,115.0,1,Strong Performer
00ETaeHUQ6lops3oWU1Wrt,89,130.5,47.92007234273895,4,282,70.5,Hot Stuff,"Kygo, Donna Summer",2020-09-18,2020-09-19,1,112,0.02044150697476282,0.0,0.0,Moderate Performer,0.0,0.0,172,83,0.3672036194845896,70.5,180.25704619261924,0.02044150697476282,89,172,-83,2.0,1,Strong Performer
00Ga884hbpVvCNyeQdle1U,99,149.0,70.71067811865476,2,104,52.0,Violet Chemistry,Miley Cyrus,2023-03-10,2023-03-11,1,102,0.013944924608652681,0.0,0.0,Volatile,0.0,0.0,199,100,0.47456830952117285,52.0,112.0584534441472,0.013944924608652681,99,199,-100,1.0,1,Strong Performer
00I41xsW6SunZDJ5fB8KAd,65,65.0,,1,136,136.0,Safety Zone,j-hope,2022-07-15,2022-07-15,0,136,,0.0,0.0,One-Week Wonder,0.0,0.0,65,0,,136.0,94.26801655615256,,65,65,0,0.5,1,Strong Performer
00R0fEFZGb5hyTgF1nrRCq,115,115.0,,1,86,86.0,Look Over Your Shoulder (feat. Kendrick Lamar),Busta Rhymes,2020-10-30,2020-10-30,0,86,,0.0,0.0,One-Week Wonder,0.0,0.0,115,0,,86.0,59.61065752815529,,115,115,0,0.5,0,Mid-Chart Mainstay
00TVmX9spquyg0UKuN57l3,182,182.0,,1,19,19.0,HOLD ME TIGHT OR DON'T,Fall Out Boy,2018-01-22,2018-01-22,0,19,,0.0,0.0,One-Week Wonder,0.0,0.0,182,0,,19.0,13.16979643063896,,182,182,0,0.5,0,Mid-Chart Mainstay
00gpGR84M27moP7AFuqHIx,124,132.28571428571428,6.52467842666814,7,481,68.71428571428571,Bounce Out With That FT. YBN hmir,DJ A1,2018-03-13,2018-03-19,6,77,0.13289604462775575,0.0,0.0,Moderate Performer,0.0,0.0,141,17,0.049322623095763476,68.71428571428571,160.11699870934734,0.13289604462775575,129,124,5,3.5,0,Mid-Chart Mainstay
