Artist (Ind.),artist_song_count,avg_points,total_points,avg_danceability,avg_energy,Artist_Cluster
$NOT,93,25.978495,2416.0,0.6780968,0.72151613,1
$uicideboy$,50,68.1,3405.0,0.792,0.511,1
(G)I-DLE,115,36.886955,4242.0,0.6880695,0.8380174,1
*NSYNC,29,75.93104,2202.0,0.6454828,0.93962073,1
070 Shake,237,71.837555,17025.5,0.51527846,0.74835443,1
13 Organisé,69,8.101449,559.0,0.901,0.939,1
187 Strassenbande,15,10.866667,163.0,0.7665333,0.7424,1
2 Chainz,327,31.706423,10368.0,0.82230586,0.5042905,1
21 Savage,2684,68.988884,185166.17,0.7364236,0.53871685,1
22 Savage,12,21.083334,253.0,0.7879999,0.556,1
24kGoldn,852,123.518776,105238.0,0.70448476,0.6988745,1
2Pac,7,30.0,210.0,0.7394286,0.8331429,1
347aidan,81,20.271605,1642.0,0.8801976,0.5110617,1
4*TOWN (From Disney and Pixar's Turning Red),29,8.551724,248.0,0.905,0.631,1
42 Dugg,6,84.333336,506.0,0.62,0.586,1
5 Seconds of Summer,1334,93.52624,124764.0,0.59329015,0.776997,1
50 Cent,75,55.68,4176.0,0.89532,0.71484,1
6LACK,401,48.27681,19359.0,0.7711446,0.53353614,1
6ix9ine,1215,72.3572,87914.0,0.7391942,0.6861292,1
88-Keys,2,39.0,78.0,0.525,0.774,1
99 Percent,86,39.17442,3369.0,0.786,0.85400003,1
A Boogie Wit da Hoodie,1050,85.93619,90233.0,0.71687526,0.6890838,1
A Castela,228,35.372807,8065.0,0.6970833,0.82455707,1
A R I Z O N A,78,69.03846,5385.0,0.617,0.642,1
A Touch Of Class,108,49.98148,5398.0,0.73300004,0.859,1
A$AP Ferg,251,94.16733,23636.0,0.7977091,0.8383665,1
A$AP Mob,1,1.0,1.0,0.859,0.424,1
A$AP Rocky,657,68.15221,44776.0,0.8006119,0.67173666,1
A-Wall,45,39.466667,1776.0,0.604,0.466,1
A7S,731,57.183765,41801.332,0.74943775,0.7410999,1
ABBA,36,70.583336,2541.0,0.5842778,0.5838889,1
ABRA,8,51.75,414.0,0.612,0.561,1
AC/DC,25,51.32,1283.0,0.51408,0.84876,1
ACRAZE,281,63.69573,17898.5,0.854,0.806,1
AFROJACK,1,8.0,8.0,0.671,0.939,1
AJ Mitchell,2,21.0,42.0,0.68,0.593,1
AJR,236,103.317795,24383.0,0.67406356,0.6368432,1
AK AUSSERKONTROLLE,9,21.222221,191.0,0.7957778,0.64033335,1
ALMA,1,32.0,32.0,0.767,0.718,1
ANNA,1,21.0,21.0,0.572,0.66,1
AP Dhillon,74,32.58108,2411.0,0.837,0.717,1
ARIZONATEARS,16,9.791667,156.66667,0.686,0.897,1
ATB,241,43.910095,10582.333,0.669,0.784,1
AURORA,202,92.90594,18767.0,0.39357424,0.33157423,1
AVA,1,1.0,1.0,0.482,0.483,1
AX'EL,98,30.642857,3003.0,0.579,0.596,1
AYLIVA,15,23.6,354.0,0.792,0.679,1
Aaliyah,1,17.0,17.0,0.599,0.547,1
Aaron Carter,64,71.421875,4571.0,0.737,0.729,1
Aaron Smith,139,42.280575,5877.0,0.72,0.741,1
Aazar,1,20.0,20.0,0.584,0.786,1
Ab-Soul,12,47.583332,571.0,0.5064167,0.6063333,1
Abhir Hathi,102,15.176471,1548.0,0.672,0.745,1
Abraham Mateo,130,16.361538,2127.0,0.69,0.872,1
Achille Lauro,20,20.9,418.0,0.527,0.764,1
Adassa,134,26.56965,3560.3333,0.577,0.45,1
Adele,1787,101.08674,180642.0,0.57808226,0.52621377,1
Adria Proenza,147,17.380953,2555.0,0.5200272,0.12813605,1
Adriano Rhod,6,3.5,21.0,0.656,0.842,1
Aerosmith,71,47.74648,3390.0,0.393,0.433,1
Afro Bros,121,11.793388,1427.0,0.765,0.906,1
Afrojack,89,29.696629,2643.0,0.72091013,0.87186515,1
Agnes,24,34.375,825.0,0.40200004,0.754,1
AgroPlay,101,50.30693,5081.0,0.69094056,0.70805943,1
Agust D,89,89.52809,7968.0,0.67888767,0.7210787,1
Aitana,325,47.22769,15349.0,0.7456554,0.76228917,1
Aitch,26,30.615385,796.0,0.7972692,0.79503846,1
Ak4:20,22,26.863636,591.0,0.861,0.786,1
Akon,1,62.0,62.0,0.649,0.779,1
Alan Walker,1114,44.771095,49875.0,0.59905297,0.7107451,1
Aldair Playboy,12,18.333334,220.0,0.767,0.55,1
Alec Benjamin,507,78.291916,39694.0,0.65160745,0.5567791,1
Alejandro Fernández,3,1.6666666,5.0,0.682,0.858,1
Alejo,114,28.666666,3268.0,0.83,0.739,1
Alessandra,12,107.5,1290.0,0.563,0.908,1
Alessandra Amoroso,7,10.571428,74.0,0.929,0.625,1
Alessia Cara,943,63.81124,60174.0,0.5393553,0.59699684,1
Alesso,136,58.617645,7972.0,0.6555368,0.77700734,1
Alex Aiono,69,13.898551,959.0,0.755,0.719,1
Alex Rose,352,19.855114,6989.0,0.70945174,0.5898722,1
Alex Sensation,226,52.00885,11754.0,0.771,0.835,1
Alexander 23,34,36.64706,1246.0,0.629,0.306,1
Alfonso Herrera,9,6.0,54.0,0.5918889,0.7634444,1
Ali Gatie,567,107.96473,61216.0,0.7068148,0.44503704,1
Ali Sethi,103,25.281553,2604.0,0.714,0.596,1
Alicia Keys,24,33.083332,794.0,0.47858334,0.74820834,1
Alico,64,18.421875,1179.0,0.721,0.612,1
Almighty,236,10.101695,2384.0,0.78254235,0.62594914,1
Aloe Blacc,58,95.793106,5556.0,0.802,0.645,1
Alok,279,32.01792,8933.0,0.790129,0.5020502,1
Alonestar,1,5.0,5.0,0.794,0.865,1
Alonzo,5,10.8,54.0,0.66,0.72,1
Alvaro Diaz,61,23.819672,1453.0,0.706,0.739,1
Alvaro Soler,143,101.6014,14529.0,0.6999021,0.8436154,1
Amaarae,115,82.01159,9431.333,0.86837393,0.52329564,1
Amanda Reifer,50,34.04,1702.0,0.775,0.736,1
Amanda Shires,2,17.5,35.0,0.522,0.659,1
