id,First_Date,Last_Date,Year,Month,DayOfWeek,IsWeekend,Season,Quarter,Title,Artists,Chart_Weeks,Chart_Longevity_Days,Best_Rank,Days_In_Charts,Weeks_Per_Day_Ratio,Quick_Peak_Score,Sustained_Presence,Brief_Appearance,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Temporal_Cluster,Temporal_Cluster_Name
000xQL6tZNLJzIrtIgxqSl,2017-03-24,2017-09-12,2017,9,1,0,Fall,3,Still Got Time (feat. PARTYNEXTDOOR),ZAYN,118,172,40,172,0.6820809248554913,1.3529411764705883,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
003VDDA7J3Xb2ZFlNx7nIZ,2020-02-07,2020-02-08,2020,2,5,1,Winter,1,YELL OH,"Trippie Redd, Young Thug",4,1,108,1,2.0,18.6,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,False,False,False,True,2,Viral/Quick Peak - Winter
003eoIwxETJujVWmNFMoZy,2018-06-15,2018-06-28,2018,6,3,0,Summer,2,Growing Pains,Alessia Cara,14,13,91,13,1.0,7.333333333333333,1,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,False,False,True,False,5,Early Era (2017-2018) - Summer
003vvx7Niy0yvhvHt4a68B,2020-08-15,2023-01-01,2023,1,6,1,Winter,1,Mr. Brightside,The Killers,560,869,73,869,0.6436781609195402,0.2281639928698752,1,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,False,False,False,True,0,Recent Era (2022-2023) - Winter
00B7TZ0Xawar6NZ00JFomN,2018-04-06,2018-04-19,2018,4,3,0,Spring,2,Best Life (feat. Chance The Rapper),Cardi B,14,13,61,13,1.0,9.333333333333334,1,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,False,True,False,False,1,Spring - Friday Fresh
00Blm7zeNqgYLPtW6zg8cj,2021-11-05,2022-06-02,2022,6,3,0,Summer,2,One Right Now (with The Weeknd),"Post Malone, The Weeknd",374,209,7,209,1.7809523809523808,0.5173333333333333,1,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,False,False,True,False,5,Early Era (2017-2018) - Summer
00EPIEnX1JFjff8sC6bccd,2018-07-17,2018-11-08,2018,11,3,0,Fall,4,No Me Acuerdo,"Thalia, Natti Natasha",230,114,62,114,2.0,0.6017316017316018,1,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
00ETaeHUQ6lops3oWU1Wrt,2020-09-18,2020-09-19,2020,9,5,1,Fall,3,Hot Stuff,"Kygo, Donna Summer",4,1,89,1,2.0,22.4,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
00Ga884hbpVvCNyeQdle1U,2023-03-10,2023-03-11,2023,3,5,1,Spring,1,Violet Chemistry,Miley Cyrus,2,1,99,1,1.0,34.0,0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,False,True,False,False,1,Spring - Friday Fresh
00I41xsW6SunZDJ5fB8KAd,2022-07-15,2022-07-15,2022,7,4,0,Summer,3,Safety Zone,j-hope,1,0,65,0,1.0,68.0,0,1,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,False,False,True,False,5,Early Era (2017-2018) - Summer
00R0fEFZGb5hyTgF1nrRCq,2020-10-30,2020-10-30,2020,10,4,0,Fall,4,Look Over Your Shoulder (feat. Kendrick Lamar),Busta Rhymes,1,0,115,0,1.0,43.0,0,1,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
00TVmX9spquyg0UKuN57l3,2018-01-22,2018-01-22,2018,1,0,0,Winter,1,HOLD ME TIGHT OR DON'T,Fall Out Boy,1,0,182,0,1.0,9.5,0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,False,False,False,True,2,Viral/Quick Peak - Winter
00gpGR84M27moP7AFuqHIx,2018-03-13,2018-03-19,2018,3,0,0,Spring,1,Bounce Out With That FT. YBN hmir,DJ A1,7,6,124,6,1.0,9.625,0,0,1.0,6.123233995736766e-17,0.0,1.0,False,True,False,False,1,Spring - Friday Fresh
00imgaPlYRrMGn9o83hfmk,2022-07-08,2022-07-10,2022,7,6,1,Summer,3,LOOSE CHANGE,Brent Faiyaz,3,2,44,2,1.0,39.25,0,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,False,False,True,False,5,Early Era (2017-2018) - Summer
00ko9WaS4jOX1kEk3gvHjf,2019-07-26,2019-11-21,2019,11,3,0,Fall,4,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",105,118,45,118,0.8823529411764706,1.471698113207547,1,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
00lNx0OcTJrS3MKHcB80HY,2017-01-09,2017-12-31,2017,12,6,1,Winter,4,You Don't Know Me - Radio Edit,"Jax Jones, RAYE",414,356,17,356,1.1596638655462186,0.4433734939759036,1,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,False,False,False,True,2,Viral/Quick Peak - Winter
00mrTzjxIRuWJY01sRBJmO,2018-10-03,2018-10-03,2018,10,2,0,Fall,4,Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,1,0,108,0,1.0,46.5,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
00v5O7qsglyTtp2q1M9DZr,2019-04-23,2019-04-23,2019,4,1,0,Spring,2,Pray You Catch Me,Beyoncé,1,0,72,0,1.0,64.5,0,1,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,False,True,False,False,1,Spring - Friday Fresh
00zzSEe82JTtz68XlARnh7,2018-05-19,2018-06-17,2018,6,6,1,Summer,2,Amor Falso,Aldair Playboy,12,29,154,29,0.4,3.6153846153846154,1,0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,False,False,True,False,5,Early Era (2017-2018) - Summer
011ZwIM48eD8ee2UBpG8nK,2020-03-22,2020-03-23,2020,3,0,0,Spring,1,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",Childish Gambino,2,1,145,1,1.0,18.666666666666668,0,1,1.0,6.123233995736766e-17,0.0,1.0,False,True,False,False,1,Spring - Friday Fresh
017PF4Q3l4DBUiWoXk4OWT,2020-03-27,2021-07-08,2021,7,3,0,Summer,3,Break My Heart,Dua Lipa,453,468,6,468,0.9658848614072495,0.42951541850220265,1,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,False,False,True,False,5,Early Era (2017-2018) - Summer
01BCvCKQNDmFQQQSjrzPnm,2021-10-01,2021-10-01,2021,10,4,0,Fall,4,GHIGLIOTTI - feat. Noyz rcos,Salmo,1,0,184,0,1.0,8.5,0,1,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
01DOm09B2AbiTARAbXVI6g,2019-04-09,2019-04-20,2019,4,5,1,Spring,2,CHopstix (with Travis Scott),ScHoolboy Q,12,11,77,11,1.0,9.538461538461538,1,0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,False,True,False,False,1,Spring - Friday Fresh
01GmGxOPy22EdAZGC0X6q1,2019-07-27,2019-07-27,2019,7,5,1,Summer,3,We Go High,Chance the Rapper,1,0,126,0,1.0,37.5,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,False,False,True,False,5,Early Era (2017-2018) - Summer
01I9AEz658sQnQzCL3K3QG,2020-05-29,2020-05-29,2020,5,4,0,Spring,2,HOES UP G'S DOWN,Shirin David,1,0,141,0,1.0,30.0,0,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,False,True,False,False,1,Spring - Friday Fresh
01JMnRUs2YOK6DDpdQASGY,2020-02-28,2020-02-28,2020,2,4,0,Winter,1,Grace (feat. 42 Dugg),Lil Baby,1,0,119,0,1.0,41.0,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,False,True,2,Viral/Quick Peak - Winter
